date,value,rolling_12m
2003-01-01,16.82834968,12.466184659166666
2003-02-01,9.80021461,12.528412096666665
2003-03-01,10.81699371,12.596290840000002
2003-04-01,10.65422256,12.585080214166666
2003-05-01,12.51232269,12.618881675833334
2003-06-01,12.16120969,12.719474060833333
2003-07-01,12.9980462,12.732264088333332
2003-08-01,12.51727568,12.7589954075
2003-09-01,13.26865761,12.793487885833331
2003-10-01,14.73362169,12.89278933
2003-11-01,13.66938174,12.924601141666669
2003-12-01,16.50396561,13.038688455833332
2004-01-01,18.00376795,13.136639978333333
2004-02-01,11.93802987,13.31479125
2004-03-01,12.9979001,13.496533449166664
2004-04-01,12.88264507,13.682235325
2004-05-01,13.94344681,13.801495668333333
2004-06-01,13.9894722,13.9538508775
2004-07-01,15.33909742,14.148938479166667
2004-08-01,15.37076394,14.3867291675
2004-09-01,16.142005,14.626174783333333
2004-10-01,16.685754,14.788852475833332
2004-11-01,17.636728,15.119464664166665
2004-12-01,18.869325,15.316577946666667
2005-01-01,20.778723,15.547824200833332
2005-02-01,12.154552,15.565867711666668
2005-03-01,13.402392,15.599575370000002
2005-04-01,14.459239,15.7309581975
2005-05-01,14.795102,15.801929463333332
2005-06-01,15.705248,15.94491078
2005-07-01,15.82955,15.985781828333335
2005-08-01,17.554701,16.167776583333332
2005-09-01,18.100864,16.331014833333334
2005-10-01,17.496668,16.398591
2005-11-01,19.347265,16.54113575
2005-12-01,20.031291,16.63796625
2006-01-01,23.486694,16.863630500000003
2006-02-01,12.536987,16.89550008333333
2006-03-01,15.467018,17.067552250000002
2006-04-01,14.233539,17.048743916666666
2006-05-01,17.783058,17.29774025
2006-06-01,16.291602,17.346603083333335
2006-07-01,16.980282,17.442497416666665
2006-08-01,18.612189,17.530621416666666
2006-09-01,16.623343,17.40749466666667
2006-10-01,21.430241,17.735292416666667
2006-11-01,23.575517,18.08764675
2006-12-01,23.334206,18.362889666666664
2007-01-01,28.038383,18.742197083333334
2007-02-01,16.763869,19.094437250000002
2007-03-01,19.792754,19.45491525
2007-04-01,16.427305,19.637729083333333
2007-05-01,21.000742,19.905869416666665
2007-06-01,20.681002,20.271652749999998
2007-07-01,21.83489,20.676203416666667
2007-08-01,23.93020353,21.119371294166665
2007-09-01,22.93035694,21.644955789166662
2007-10-01,23.26333992,21.7977140325
2007-11-01,25.25003022,21.937256800833335
2007-12-01,25.80609,22.143247134166668
2008-01-01,29.665356,22.278828217500003
2008-02-01,21.654285,22.686362884166666
2008-03-01,18.264945,22.5590454675
2008-04-01,23.107677,23.115743134166667
2008-05-01,22.91251,23.27505713416667
2008-06-01,19.43174,23.170951967500002
